ROI,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
MUSE_TBR,31,1059650.18753394,1089421.15842572,1147615.21683224,1228151.83317661,1316550.43841688,1391975.83622579,1435159.93903279
MUSE_TBR,32,1058280.88831919,1087986.6129398001,1146041.25331232,1226390.93070138,1314765.30878372,1390450.83641102,1433911.92510201
MUSE_TBR,33,1056892.28546468,1086539.55632223,1144464.45639657,1224631.99693243,1312976.12322854,1388909.45536498,1432638.52236403
MUSE_TBR,34,1055482.52767426,1085078.7091515,1142884.35780114,1222874.99097405,1311182.21261732,1387349.2494182,1431335.63078826
MUSE_TBR,35,1054050.39022838,1083603.22668881,1141300.65030947,1221119.89071686,1309383.1029153,1385768.38220408,1430000.08887485
MUSE_TBR,36,1052595.48365115,1082112.84334551,1139713.24103969,1219366.69845046,1307578.58723892,1384165.87732039,1428630.09217925
MUSE_TBR,37,1051117.57252882,1080607.40362661,1138122.08043445,1217615.42196614,1305768.51828166,1382540.95236906,1427224.14157307
MUSE_TBR,38,1049616.3663204,1079086.71852796,1136527.11072804,1215866.07004601,1303952.74516625,1380892.81191171,1425780.71430428
MUSE_TBR,39,1048091.57010949,1077550.60080249,1134928.27920061,1214118.65429025,1302131.13043623,1379220.70409253,1424298.35633193
MUSE_TBR,40,1046542.96544019,1075998.92195762,1133325.56152492,1212373.19523698,1300303.57956145,1377524.01133179,1422775.82836968
MUSE_TBR,41,1044970.29101303,1074431.52808984,1131718.92667634,1210629.71199346,1298469.99851255,1375802.12962018,1421211.91895288
MUSE_TBR,42,1043373.27111811,1072848.2611974,1130108.34803392,1208888.228173,1296630.30763926,1374054.50347856,1419605.49926632
MUSE_TBR,43,1041751.64595369,1071248.98247035,1128493.81664437,1207148.78021198,1294784.45810454,1372280.66397615,1417955.58172582
MUSE_TBR,44,1040105.15246044,1069633.55807971,1126875.33361291,1205411.41280745,1292932.4231905001,1370480.2117446999,1416261.29749697
MUSE_TBR,45,1038433.48997113,1068001.83337225,1125252.89577236,1203676.16989013,1291074.18145349,1368652.78253549,1414521.84813798
MUSE_TBR,46,1036736.42297004,1066353.70113529,1123626.5153903998,1201943.08923643,1289209.74304738,1366798.15787198,1412736.69278507
MUSE_TBR,47,1035014.01215101,1064689.25394112,1121996.2629017,1200212.18920694,1287339.20637797,1364916.50735593,1410905.95824274
